Чек_товар;Номер чека;Номер позиции ;Товар;Магазин;День;Месяц;Оборот с НДС;Штуки;NETVAL_INV;TAX_AMOUNT;Подсчет чеков
900421200 105279571         ;900421200 ;1;105279571         ;M003;20210101;202101;112;4;93,33;18,67;1
900421200 106729705         ;900421200 ;2;106729705         ;M003;20210101;202101;1424;2;1186,67;237,33;2
900434234 1000044348        ;900434234 ;1;1000044348        ;M003;20210101;202101;1491;3;1242,50;248,50;1
900434234 1000044354        ;900434234 ;2;1000044354        ;M003;20210101;202101;24;1;20,00;4,00;2
900434234 1000044492        ;900434234 ;3;1000044492        ;M003;20210101;202101;48;1;40,00;8,00;3
900443454 646               ;900443454 ;1;646               ;M003;20210101;202101;470;1;427,27;42,73;1
900443454 16951             ;900443454 ;2;16951             ;M003;20210101;202101;26;1;21,67;4,33;2
900443454 19719             ;900443454 ;3;19719             ;M003;20210101;202101;49;1;40,83;8,17;3
900443454 19758             ;900443454 ;4;19758             ;M003;20210101;202101;519;1;432,50;86,50;4
900443454 20776             ;900443454 ;5;20776             ;M003;20210101;202101;11;1;9,17;1,83;5
900443454 32204             ;900443454 ;6;32204             ;M003;20210101;202101;72;1;65,45;6,55;6
900443454 35687             ;900443454 ;7;35687             ;M003;20210101;202101;92;4;76,67;15,33;7
900443454 40580             ;900443454 ;8;40580             ;M003;20210101;202101;64;1;53,33;10,67;8
900443454 53258             ;900443454 ;9;53258             ;M003;20210101;202101;164;1;149,09;14,91;9
900443454 55239             ;900443454 ;10;55239             ;M003;20210101;202101;4943;1;4119,17;823,83;10
900443454 55255             ;900443454 ;11;55255             ;M003;20210101;202101;79;1;65,83;13,17;11
900443454 55414             ;900443454 ;12;55414             ;M003;20210101;202101;23;1;19,17;3,83;12
900443454 55417             ;900443454 ;13;55417             ;M003;20210101;202101;985;1;820,83;164,17;13
900443454 55445             ;900443454 ;14;55445             ;M003;20210101;202101;180;3;163,64;16,36;14
900443454 55482             ;900443454 ;15;55482             ;M003;20210101;202101;468;1;390,00;78,00;15
900443454 55571             ;900443454 ;16;55571             ;M003;20210101;202101;104;2;94,55;9,45;16
900443454 55617             ;900443454 ;17;55617             ;M003;20210101;202101;19;1;15,83;3,17;17
900443454 63127             ;900443454 ;18;63127             ;M003;20210101;202101;87;1;79,09;7,91;18
900443454 70245             ;900443454 ;19;70245             ;M003;20210101;202101;316;1;263,33;52,67;19
900443454 73203             ;900443454 ;20;73203             ;M003;20210101;202101;52;1;43,33;8,67;20
900463131 1000008679        ;900463131 ;1;1000008679        ;M006;20210101;202101;20;1;18,18;1,82;1
900463131 1000008745        ;900463131 ;2;1000008745        ;M006;20210101;202101;270;1;225,00;45,00;2
900463131 1000008767        ;900463131 ;3;1000008767        ;M006;20210101;202101;27;1;22,50;4,50;3
900463131 1000008790        ;900463131 ;4;1000008790        ;M006;20210101;202101;18;2;16,36;1,64;4
900463131 1000009324        ;900463131 ;5;1000009324        ;M006;20210101;202101;68;1;56,67;11,33;5
900498502 893138            ;900498502 ;1;893138            ;M005;20210101;202101;88;1;73,33;14,67;1
900498502 7000009745        ;900498502 ;2;7000009745        ;M005;20210101;202101;97;1;80,83;16,17;2
900424526 1000018963        ;900424526 ;1;1000018963        ;M012;20210102;202101;402;1;335,00;67,00;1
900424526 1000018964        ;900424526 ;2;1000018964        ;M012;20210102;202101;34;1;30,91;3,09;2
900424526 1000019032        ;900424526 ;3;1000019032        ;M012;20210102;202101;801;3;667,50;133,50;3
900424526 1000019047        ;900424526 ;4;1000019047        ;M012;20210102;202101;84;1;70,00;14,00;4
900424526 1000019048        ;900424526 ;5;1000019048        ;M012;20210102;202101;1500;1;1363,64;136,36;5
900428875 106773781         ;900428875 ;1;106773781         ;M005;20210102;202101;346;1;288,33;57,67;1
900437572 1000036827        ;900437572 ;1;1000036827        ;M003;20210102;202101;231;1;210,00;21,00;1
900437572 1000036828        ;900437572 ;2;1000036828        ;M003;20210102;202101;2;1;1,67;0,33;2
900469404 108126086         ;900469404 ;1;108126086         ;M012;20210102;202101;17;1;14,17;2,83;1
900469404 108184139         ;900469404 ;2;108184139         ;M012;20210102;202101;48;1;40,00;8,00;2
900469404 1000004353        ;900469404 ;3;1000004353        ;M012;20210102;202101;495;3;412,50;82,50;3
900486004 662670            ;900486004 ;1;662670            ;M006;20210102;202101;1569;3;1426,36;142,64;1
900486004 817851            ;900486004 ;2;817851            ;M006;20210102;202101;20;1;16,67;3,33;2
900489833 2027702003        ;900489833 ;1;2027702003        ;M009;20210102;202101;222;3;185,00;37,00;1
900489833 2027726001        ;900489833 ;2;2027726001        ;M009;20210102;202101;339;1;282,50;56,50;2
900489833 2027728004        ;900489833 ;3;2027728004        ;M009;20210102;202101;228;3;207,27;20,73;3
900489833 2027751005        ;900489833 ;4;2027751005        ;M009;20210102;202101;157;1;142,73;14,27;4
900489833 2027763004        ;900489833 ;5;2027763004        ;M009;20210102;202101;414;1;345,00;69,00;5
900489833 2027768002        ;900489833 ;6;2027768002        ;M009;20210102;202101;26;1;21,67;4,33;6
900495077 1000047028        ;900495077 ;1;1000047028        ;M012;20210102;202101;36;1;30,00;6,00;1
900495077 1000047033        ;900495077 ;2;1000047033        ;M012;20210102;202101;316;1;263,33;52,67;2
900542005 646               ;900542005 ;1;646               ;M005;20210102;202101;470;1;427,27;42,73;1
900542005 16951             ;900542005 ;2;16951             ;M005;20210102;202101;26;1;21,67;4,33;2
900542005 19372             ;900542005 ;3;19372             ;M005;20210102;202101;353;1;320,91;32,09;3
900542005 19380             ;900542005 ;4;19380             ;M005;20210102;202101;62;1;51,67;10,33;4
900542005 19657             ;900542005 ;5;19657             ;M005;20210102;202101;923;1;769,17;153,83;5
900642637 146784            ;900642637 ;1;146784            ;M010;20210102;202101;2;1;1,67;0,33;1
900429722 105279571         ;900429722 ;1;105279571         ;M004;20210103;202101;28;1;23,33;4,67;1
900429722 106489772         ;900429722 ;2;106489772         ;M004;20210103;202101;544;1;453,33;90,67;2
900429722 107439970         ;900429722 ;3;107439970         ;M004;20210103;202101;76;1;63,33;12,67;3
900429722 1000020917        ;900429722 ;4;1000020917        ;M004;20210103;202101;760;2;633,33;126,67;4
900429722 1000030149        ;900429722 ;5;1000030149        ;M004;20210103;202101;98;2;81,67;16,33;5
900429722 1000034686        ;900429722 ;6;1000034686        ;M004;20210103;202101;87;1;72,50;14,50;6
900429722 1000043792        ;900429722 ;7;1000043792        ;M004;20210103;202101;8668;2;7223,33;1444,67;7
900429722 1000045848        ;900429722 ;8;1000045848        ;M004;20210103;202101;40;1;33,33;6,67;8
900429722 1000046345        ;900429722 ;9;1000046345        ;M004;20210103;202101;809;1;674,17;134,83;9
900429722 1000047878        ;900429722 ;10;1000047878        ;M004;20210103;202101;284;4;236,67;47,33;10
900429722 1000048448        ;900429722 ;11;1000048448        ;M004;20210103;202101;232;1;193,33;38,67;11
900439304 106295855         ;900439304 ;1;106295855         ;M003;20210103;202101;29;1;26,36;2,64;1
900448100 1000016345        ;900448100 ;1;1000016345        ;M007;20210103;202101;88;1;80,00;8,00;1
900448100 1000016439        ;900448100 ;2;1000016439        ;M007;20210103;202101;6;1;5,00;1,00;2
900461403 2027807001        ;900461403 ;1;2027807001        ;M006;20210103;202101;30;1;25,00;5,00;1
900461403 2027809001        ;900461403 ;2;2027809001        ;M006;20210103;202101;18;1;15,00;3,00;2
900461403 2027813001        ;900461403 ;3;2027813001        ;M006;20210103;202101;7;1;5,83;1,17;3
900461403 2027813003        ;900461403 ;4;2027813003        ;M006;20210103;202101;17;1;14,17;2,83;4
900461403 2027813006        ;900461403 ;5;2027813006        ;M006;20210103;202101;22;1;18,33;3,67;5
900461403 2027815002        ;900461403 ;6;2027815002        ;M006;20210103;202101;231;1;192,50;38,50;6
900461403 2027816003        ;900461403 ;7;2027816003        ;M006;20210103;202101;547;1;455,83;91,17;7
900461403 2027819006        ;900461403 ;8;2027819006        ;M006;20210103;202101;53;1;48,18;4,82;8
900461404 662668            ;900461404 ;1;662668            ;M013;20210103;202101;82;1;68,33;13,67;1
900461404 893138            ;900461404 ;2;893138            ;M013;20210103;202101;88;1;73,33;14,67;2
900461404 7000009745        ;900461404 ;3;7000009745        ;M013;20210103;202101;97;1;80,83;16,17;3
900524522 1000037374        ;900524522 ;1;1000037374        ;M003;20210103;202101;568;1;473,33;94,67;1
900524522 1000037381        ;900524522 ;2;1000037381        ;M003;20210103;202101;896;1;746,67;149,33;2
900524523 1000046998        ;900524523 ;1;1000046998        ;M005;20210103;202101;269;1;224,17;44,83;1
900524523 1000047025        ;900524523 ;2;1000047025        ;M005;20210103;202101;76;1;63,33;12,67;2
900524523 1000047033        ;900524523 ;3;1000047033        ;M005;20210103;202101;316;1;263,33;52,67;3
900524523 1000047035        ;900524523 ;4;1000047035        ;M005;20210103;202101;176;4;146,67;29,33;4
900524523 1000047095        ;900524523 ;5;1000047095        ;M005;20210103;202101;46;1;38,33;7,67;5
900524523 1000047099        ;900524523 ;6;1000047099        ;M005;20210103;202101;88;1;73,33;14,67;6
900524523 1000047104        ;900524523 ;7;1000047104        ;M005;20210103;202101;30;1;27,27;2,73;7
900524523 1000047154        ;900524523 ;8;1000047154        ;M005;20210103;202101;59;1;49,17;9,83;8
900524523 1000047228        ;900524523 ;9;1000047228        ;M005;20210103;202101;384;4;320,00;64,00;9
900545158 16951             ;900545158 ;1;16951             ;M003;20210103;202101;26;1;21,67;4,33;1
900545158 17615             ;900545158 ;2;17615             ;M003;20210103;202101;971;1;809,17;161,83;2
900796341 32204             ;900796341 ;1;32204             ;M007;20210103;202101;216;3;196,36;19,64;1
900796341 55518             ;900796341 ;2;55518             ;M007;20210103;202101;72;1;65,45;6,55;2
900424050 1000017392        ;900424050 ;1;1000017392        ;M003;20210104;202101;44;1;36,67;7,33;1
900424050 1000017394        ;900424050 ;2;1000017394        ;M003;20210104;202101;49;1;40,83;8,17;2
900424051 1000047945        ;900424051 ;1;1000047945        ;M003;20210104;202101;1468;4;1334,55;133,45;1
900424051 1000047946        ;900424051 ;2;1000047946        ;M003;20210104;202101;8;1;6,67;1,33;2
900424051 1000047953        ;900424051 ;3;1000047953        ;M003;20210104;202101;38;1;31,67;6,33;3
900424051 1000047963        ;900424051 ;4;1000047963        ;M003;20210104;202101;3769;1;3140,83;628,17;4
900433396 106565798         ;900433396 ;1;106565798         ;M007;20210104;202101;327;1;272,50;54,50;1
900433396 106706108         ;900433396 ;2;106706108         ;M007;20210104;202101;77;1;64,17;12,83;2
900433396 106706116         ;900433396 ;3;106706116         ;M007;20210104;202101;240;3;200,00;40,00;3
900433396 106748711         ;900433396 ;4;106748711         ;M007;20210104;202101;97;1;80,83;16,17;4
900460176 1000004183        ;900460176 ;1;1000004183        ;M014;20210104;202101;90;1;75,00;15,00;1
900475333 1000037382        ;900475333 ;1;1000037382        ;M001;20210104;202101;2;1;1,67;0,33;1
900491845 646               ;900491845 ;1;646               ;M004;20210104;202101;470;1;427,27;42,73;1
900491845 16951             ;900491845 ;2;16951             ;M004;20210104;202101;26;1;21,67;4,33;2
900541857 662670            ;900541857 ;1;662670            ;M003;20210104;202101;523;1;475,45;47,55;1
900541857 102738575         ;900541857 ;2;102738575         ;M003;20210104;202101;1279;1;1065,83;213,17;2
900541857 7000009745        ;900541857 ;3;7000009745        ;M003;20210104;202101;291;3;242,50;48,50;3
900551332 2028017005        ;900551332 ;1;2028017005        ;M003;20210104;202101;85;1;77,27;7,73;1
900551332 2028019002        ;900551332 ;2;2028019002        ;M003;20210104;202101;342;2;285,00;57,00;2
900551332 2028024002        ;900551332 ;3;2028024002        ;M003;20210104;202101;45;3;37,50;7,50;3
900551332 2028025006        ;900551332 ;4;2028025006        ;M003;20210104;202101;36;1;30,00;6,00;4
900551332 2028026003        ;900551332 ;5;2028026003        ;M003;20210104;202101;69;1;62,73;6,27;5
900551332 2028026005        ;900551332 ;6;2028026005        ;M003;20210104;202101;48;1;40,00;8,00;6
900551332 2028039004        ;900551332 ;7;2028039004        ;M003;20210104;202101;45;1;40,91;4,09;7
900551332 2028062004        ;900551332 ;8;2028062004        ;M003;20210104;202101;88;1;73,33;14,67;8
900551332 2028066004        ;900551332 ;9;2028066004        ;M003;20210104;202101;97;1;80,83;16,17;9
900551332 2028076004        ;900551332 ;10;2028076004        ;M003;20210104;202101;32;1;26,67;5,33;10
900551332 2028083004        ;900551332 ;11;2028083004        ;M003;20210104;202101;44;1;36,67;7,33;11
900658341 662670            ;900658341 ;1;662670            ;M001;20210104;202101;523;1;475,45;47,55;1
900658343 20404             ;900658343 ;1;20404             ;M012;20210104;202101;4100;1;3416,67;683,33;1
900658343 32204             ;900658343 ;2;32204             ;M012;20210104;202101;72;1;65,45;6,55;2
900701222 1000004183        ;900701222 ;1;1000004183        ;M004;20210104;202101;90;1;75,00;15,00;1
900701222 1000009924        ;900701222 ;2;1000009924        ;M004;20210104;202101;1049;1;874,17;174,83;2
900702739 646               ;900702739 ;1;646               ;M001;20210104;202101;470;1;427,27;42,73;1
900702739 16951             ;900702739 ;2;16951             ;M001;20210104;202101;26;1;21,67;4,33;2
900702739 18452             ;900702739 ;3;18452             ;M001;20210104;202101;52;1;43,33;8,67;3
900702739 19067             ;900702739 ;4;19067             ;M001;20210104;202101;198;3;165,00;33,00;4
900702739 34428             ;900702739 ;5;34428             ;M001;20210104;202101;28;1;23,33;4,67;5
900772094 1000044123        ;900772094 ;1;1000044123        ;M013;20210104;202101;84;1;70,00;14,00;1
900790764 100358827         ;900790764 ;1;100358827         ;M002;20210104;202101;5;1;4,17;0,83;1
900815209 103177600         ;900815209 ;1;103177600         ;M005;20210104;202101;72;1;65,45;6,55;1
900815209 103177618         ;900815209 ;2;103177618         ;M005;20210104;202101;52;1;43,33;8,67;2
900815209 103183621         ;900815209 ;3;103183621         ;M005;20210104;202101;170;2;141,67;28,33;3
900815209 103202617         ;900815209 ;4;103202617         ;M005;20210104;202101;237;1;197,50;39,50;4
900815209 103305641         ;900815209 ;5;103305641         ;M005;20210104;202101;63;1;57,27;5,73;5
900815209 103350572         ;900815209 ;6;103350572         ;M005;20210104;202101;44;2;36,67;7,33;6
900815209 103381758         ;900815209 ;7;103381758         ;M005;20210104;202101;1;1;0,83;0,17;7
900815209 103434696         ;900815209 ;8;103434696         ;M005;20210104;202101;11;1;9,17;1,83;8
900815209 103434717         ;900815209 ;9;103434717         ;M005;20210104;202101;96;4;80,00;16,00;9
900815209 103711948         ;900815209 ;10;103711948         ;M005;20210104;202101;1434;2;1195,00;239,00;10
900815209 103712051         ;900815209 ;11;103712051         ;M005;20210104;202101;33;1;30,00;3,00;11
900815209 103712166         ;900815209 ;12;103712166         ;M005;20210104;202101;256;1;232,73;23,27;12
900815209 103824571         ;900815209 ;13;103824571         ;M005;20210104;202101;78;1;65,00;13,00;13
900815209 103934746         ;900815209 ;14;103934746         ;M005;20210104;202101;15;1;12,50;2,50;14
900815209 104016584         ;900815209 ;15;104016584         ;M005;20210104;202101;92;1;76,67;15,33;15
900815209 104049618         ;900815209 ;16;104049618         ;M005;20210104;202101;27;1;22,50;4,50;16
900815209 104068721         ;900815209 ;17;104068721         ;M005;20210104;202101;3906;1;3255,00;651,00;17
900815210 1000022544        ;900815210 ;1;1000022544        ;M002;20210104;202101;49;1;40,83;8,17;1
900815210 1000022624        ;900815210 ;2;1000022624        ;M002;20210104;202101;35;1;31,82;3,18;2
900815210 1000022643        ;900815210 ;3;1000022643        ;M002;20210104;202101;57;1;47,50;9,50;3
900819888 126463            ;900819888 ;1;126463            ;M001;20210104;202101;2706;1;2460,00;246,00;1
900819888 794396            ;900819888 ;2;794396            ;M001;20210104;202101;264;3;220,00;44,00;2
900819888 106214752         ;900819888 ;3;106214752         ;M001;20210104;202101;1;1;0,83;0,17;3
900819888 106489772         ;900819888 ;4;106489772         ;M001;20210104;202101;544;1;453,33;90,67;4
900439424 1000049179        ;900439424 ;1;1000049179        ;M006;20210105;202101;77;1;70,00;7,00;1
900439424 1000049185        ;900439424 ;2;1000049185        ;M006;20210105;202101;14;1;11,67;2,33;2
900463265 662670            ;900463265 ;1;662670            ;M004;20210105;202101;1569;3;1426,36;142,64;1
900463265 724391            ;900463265 ;2;724391            ;M004;20210105;202101;165;3;137,50;27,50;2
900499044 271228            ;900499044 ;1;271228            ;M003;20210105;202101;57;1;47,50;9,50;1
900499045 2028016005        ;900499045 ;1;2028016005        ;M002;20210105;202101;11;1;9,17;1,83;1
900533376 106756711         ;900533376 ;1;106756711         ;M008;20210105;202101;161;1;134,17;26,83;1
900533377 1000019943        ;900533377 ;1;1000019943        ;M005;20210105;202101;108;3;90,00;18,00;1
900533377 1000019944        ;900533377 ;2;1000019944        ;M005;20210105;202101;43;1;35,83;7,17;2
900534881 646               ;900534881 ;1;646               ;M007;20210105;202101;470;1;427,27;42,73;1
900534881 16951             ;900534881 ;2;16951             ;M007;20210105;202101;26;1;21,67;4,33;2
900534881 19657             ;900534881 ;3;19657             ;M007;20210105;202101;923;1;769,17;153,83;3
900534881 20404             ;900534881 ;4;20404             ;M007;20210105;202101;4100;1;3416,67;683,33;4
900534881 20704             ;900534881 ;5;20704             ;M007;20210105;202101;300;3;250,00;50,00;5
900534881 20776             ;900534881 ;6;20776             ;M007;20210105;202101;11;1;9,17;1,83;6
900534881 25390             ;900534881 ;7;25390             ;M007;20210105;202101;41;1;34,17;6,83;7
900534881 25393             ;900534881 ;8;25393             ;M007;20210105;202101;16;1;13,33;2,67;8
900534881 26703             ;900534881 ;9;26703             ;M007;20210105;202101;168;4;140,00;28,00;9
900534881 30600             ;900534881 ;10;30600             ;M007;20210105;202101;66;1;55,00;11,00;10
900550191 1000038882        ;900550191 ;1;1000038882        ;M011;20210105;202101;90;1;75,00;15,00;1
900550191 1000038886        ;900550191 ;2;1000038886        ;M011;20210105;202101;45;1;37,50;7,50;2
900550191 1000038887        ;900550191 ;3;1000038887        ;M011;20210105;202101;232;4;193,33;38,67;3
900550191 1000038888        ;900550191 ;4;1000038888        ;M011;20210105;202101;93;1;77,50;15,50;4
900815114 965463            ;900815114 ;1;965463            ;M001;20210105;202101;42;1;38,18;3,82;1
900815114 100250550         ;900815114 ;2;100250550         ;M001;20210105;202101;88;2;73,33;14,67;2
900487683 1000045281        ;900487683 ;1;1000045281        ;M003;20210106;202101;3;1;2,73;0,27;1
900487683 1000045294        ;900487683 ;2;1000045294        ;M003;20210106;202101;111;3;92,50;18,50;2
900487683 1000045305        ;900487683 ;3;1000045305        ;M003;20210106;202101;43;1;35,83;7,17;3
900487683 1000045309        ;900487683 ;4;1000045309        ;M003;20210106;202101;35;1;29,17;5,83;4
900487683 1000045342        ;900487683 ;5;1000045342        ;M003;20210106;202101;132;3;110,00;22,00;5
900487683 1000045343        ;900487683 ;6;1000045343        ;M003;20210106;202101;25;1;20,83;4,17;6
900487683 1000045360        ;900487683 ;7;1000045360        ;M003;20210106;202101;45;3;37,50;7,50;7
900487683 1000045367        ;900487683 ;8;1000045367        ;M003;20210106;202101;88;1;73,33;14,67;8
900521747 2026543002        ;900521747 ;1;2026543002        ;M008;20210106;202101;72;1;65,45;6,55;1
900521747 2026548003        ;900521747 ;2;2026548003        ;M008;20210106;202101;216;4;180,00;36,00;2
900527448 646               ;900527448 ;1;646               ;M003;20210106;202101;470;1;427,27;42,73;1
900535975 106199599         ;900535975 ;1;106199599         ;M005;20210106;202101;67;1;55,83;11,17;1
900535975 106199610         ;900535975 ;2;106199610         ;M005;20210106;202101;26;1;21,67;4,33;2
900535975 106199652         ;900535975 ;3;106199652         ;M005;20210106;202101;4;1;3,33;0,67;3
900569856 2029910003        ;900569856 ;1;2029910003        ;M003;20210106;202101;52;1;43,33;8,67;1
900569856 2029916005        ;900569856 ;2;2029916005        ;M003;20210106;202101;704;1;586,67;117,33;2
900569857 662670            ;900569857 ;1;662670            ;M006;20210106;202101;523;1;475,45;47,55;1
900569857 893138            ;900569857 ;2;893138            ;M006;20210106;202101;88;1;73,33;14,67;2
900571468 1000035323        ;900571468 ;1;1000035323        ;M001;20210106;202101;1736;2;1578,18;157,82;1
900571468 1000035387        ;900571468 ;2;1000035387        ;M001;20210106;202101;8;1;6,67;1,33;2
900571468 1000035480        ;900571468 ;3;1000035480        ;M001;20210106;202101;416;2;346,67;69,33;3
900571468 1000035481        ;900571468 ;4;1000035481        ;M001;20210106;202101;76;1;63,33;12,67;4
900571468 1000035494        ;900571468 ;5;1000035494        ;M001;20210106;202101;495;1;412,50;82,50;5
900579359 1000014381        ;900579359 ;1;1000014381        ;M013;20210106;202101;90;2;75,00;15,00;1
900579359 1000014392        ;900579359 ;2;1000014392        ;M013;20210106;202101;42;1;35,00;7,00;2
900579359 1000014401        ;900579359 ;3;1000014401        ;M013;20210106;202101;40;1;33,33;6,67;3
900579359 1000014831        ;900579359 ;4;1000014831        ;M013;20210106;202101;1968;4;1640,00;328,00;4
900579359 1000014832        ;900579359 ;5;1000014832        ;M013;20210106;202101;204;3;185,45;18,55;5
900579359 1000014907        ;900579359 ;6;1000014907        ;M013;20210106;202101;96;1;80,00;16,00;6
900579359 1000014929        ;900579359 ;7;1000014929        ;M013;20210106;202101;328;1;273,33;54,67;7
900579359 1000014931        ;900579359 ;8;1000014931        ;M013;20210106;202101;16;1;13,33;2,67;8
900579359 1000014932        ;900579359 ;9;1000014932        ;M013;20210106;202101;172;1;143,33;28,67;9
900579359 1000014944        ;900579359 ;10;1000014944        ;M013;20210106;202101;12;1;10,00;2,00;10
900579359 1000014945        ;900579359 ;11;1000014945        ;M013;20210106;202101;352;1;293,33;58,67;11
900579359 1000014967        ;900579359 ;12;1000014967        ;M013;20210106;202101;27;1;22,50;4,50;12
900579359 1000015041        ;900579359 ;13;1000015041        ;M013;20210106;202101;4311;1;3592,50;718,50;13
900579359 1000015048        ;900579359 ;14;1000015048        ;M013;20210106;202101;474;1;395,00;79,00;14
900600697 874921            ;900600697 ;1;874921            ;M013;20210106;202101;21;1;17,50;3,50;1
900600697 108319030         ;900600697 ;2;108319030         ;M013;20210106;202101;84;1;70,00;14,00;2
900820193 179321            ;900820193 ;1;179321            ;M008;20210106;202101;346;1;288,33;57,67;1
900820193 106545711         ;900820193 ;2;106545711         ;M008;20210106;202101;22;1;18,33;3,67;2
900820193 107645984         ;900820193 ;3;107645984         ;M008;20210106;202101;69;1;57,50;11,50;3
900820193 108402247         ;900820193 ;4;108402247         ;M008;20210106;202101;25;1;20,83;4,17;4
900820193 1000009065        ;900820193 ;5;1000009065        ;M008;20210106;202101;58;1;48,33;9,67;5
900820193 1000033095        ;900820193 ;6;1000033095        ;M008;20210106;202101;25;1;20,83;4,17;6
900527891 106748720         ;900527891 ;1;106748720         ;M003;20210107;202101;4;1;3,33;0,67;1
900527891 106754695         ;900527891 ;2;106754695         ;M003;20210107;202101;9;1;7,50;1,50;2
900527891 106755719         ;900527891 ;3;106755719         ;M003;20210107;202101;84;3;70,00;14,00;3
900527891 106756711         ;900527891 ;4;106756711         ;M003;20210107;202101;161;1;134,17;26,83;4
900527891 106756720         ;900527891 ;5;106756720         ;M003;20210107;202101;76;1;63,33;12,67;5
900527891 106765693         ;900527891 ;6;106765693         ;M003;20210107;202101;4;4;3,33;0,67;6
900527891 106773693         ;900527891 ;7;106773693         ;M003;20210107;202101;55;1;45,83;9,17;7
900527891 106773714         ;900527891 ;8;106773714         ;M003;20210107;202101;49;1;40,83;8,17;8
900527891 106773731         ;900527891 ;9;106773731         ;M003;20210107;202101;159;3;144,55;14,45;9
900527891 106773749         ;900527891 ;10;106773749         ;M003;20210107;202101;2628;3;2190,00;438,00;10
900527891 106773781         ;900527891 ;11;106773781         ;M003;20210107;202101;346;1;288,33;57,67;11
900527891 106773790         ;900527891 ;12;106773790         ;M003;20210107;202101;467;1;389,17;77,83;12
900527891 106773802         ;900527891 ;13;106773802         ;M003;20210107;202101;39;1;32,50;6,50;13
900527891 106773811         ;900527891 ;14;106773811         ;M003;20210107;202101;329;1;274,17;54,83;14
900527891 106778902         ;900527891 ;15;106778902         ;M003;20210107;202101;59;1;49,17;9,83;15
900527891 106778911         ;900527891 ;16;106778911         ;M003;20210107;202101;352;4;320,00;32,00;16
900527891 106778929         ;900527891 ;17;106778929         ;M003;20210107;202101;3329;1;3026,36;302,64;17
900527891 106785811         ;900527891 ;18;106785811         ;M003;20210107;202101;26;1;21,67;4,33;18
900527891 106793766         ;900527891 ;19;106793766         ;M003;20210107;202101;161;1;134,17;26,83;19
900567300 17621             ;900567300 ;1;17621             ;M015;20210107;202101;36;2;30,00;6,00;1
900567300 18452             ;900567300 ;2;18452             ;M015;20210107;202101;52;1;43,33;8,67;2
900567300 19067             ;900567300 ;3;19067             ;M015;20210107;202101;66;1;55,00;11,00;3
900567300 20706             ;900567300 ;4;20706             ;M015;20210107;202101;12;1;10,91;1,09;4
900567300 25379             ;900567300 ;5;25379             ;M015;20210107;202101;272;4;226,67;45,33;5
900581975 2028877001        ;900581975 ;1;2028877001        ;M005;20210107;202101;233;1;194,17;38,83;1
900581975 2028878002        ;900581975 ;2;2028878002        ;M005;20210107;202101;191;1;159,17;31,83;2
900581975 2028881003        ;900581975 ;3;2028881003        ;M005;20210107;202101;66;1;55,00;11,00;3
900590057 2019498005        ;900590057 ;1;2019498005        ;M006;20210107;202101;559;1;465,83;93,17;1
900590057 2019644003        ;900590057 ;2;2019644003        ;M006;20210107;202101;5;1;4,17;0,83;2
900590057 2021502002        ;900590057 ;3;2021502002        ;M006;20210107;202101;140;2;116,67;23,33;3
900590057 2021680001        ;900590057 ;4;2021680001        ;M006;20210107;202101;88;1;80,00;8,00;4
900590057 2021802004        ;900590057 ;5;2021802004        ;M006;20210107;202101;359;1;299,17;59,83;5
900590057 2021807002        ;900590057 ;6;2021807002        ;M006;20210107;202101;36;1;30,00;6,00;6
900590057 2022622001        ;900590057 ;7;2022622001        ;M006;20210107;202101;300;1;272,73;27,27;7
900590057 2022803003        ;900590057 ;8;2022803003        ;M006;20210107;202101;219;1;182,50;36,50;8
900590057 2022804004        ;900590057 ;9;2022804004        ;M006;20210107;202101;372;2;310,00;62,00;9
900590057 2022970001        ;900590057 ;10;2022970001        ;M006;20210107;202101;24;1;20,00;4,00;10
900590057 2023074007        ;900590057 ;11;2023074007        ;M006;20210107;202101;46;1;41,82;4,18;11
900590057 2023182004        ;900590057 ;12;2023182004        ;M006;20210107;202101;255;3;212,50;42,50;12
900591527 662668            ;900591527 ;1;662668            ;M014;20210107;202101;82;1;68,33;13,67;1
900591527 7000009745        ;900591527 ;2;7000009745        ;M014;20210107;202101;291;3;242,50;48,50;2
900591529 1000003351        ;900591529 ;1;1000003351        ;M015;20210107;202101;12;1;10,00;2,00;1
900591529 1000026112        ;900591529 ;2;1000026112        ;M015;20210107;202101;61;1;50,83;10,17;2
900601268 1000039431        ;900601268 ;1;1000039431        ;M005;20210107;202101;36;1;30,00;6,00;1
900601268 1000039479        ;900601268 ;2;1000039479        ;M005;20210107;202101;29;1;24,17;4,83;2
900619101 1000021513        ;900619101 ;1;1000021513        ;M011;20210107;202101;319;1;265,83;53,17;1
900619101 1000021597        ;900619101 ;2;1000021597        ;M011;20210107;202101;58;1;52,73;5,27;2
900619101 1000021599        ;900619101 ;3;1000021599        ;M011;20210107;202101;132;4;110,00;22,00;3
900619101 1000021610        ;900619101 ;4;1000021610        ;M011;20210107;202101;1260;2;1050,00;210,00;4
900619101 1000021617        ;900619101 ;5;1000021617        ;M011;20210107;202101;374;1;311,67;62,33;5
900844001 106545711         ;900844001 ;1;106545711         ;M014;20210107;202101;22;1;18,33;3,67;1
900844001 1000025355        ;900844001 ;2;1000025355        ;M014;20210107;202101;84;1;70,00;14,00;2
900844001 1000043950        ;900844001 ;3;1000043950        ;M014;20210107;202101;30;1;25,00;5,00;3
